team_key,team_name,Expected Points,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV,Expected Rank,name,rank,playoff_seed,wins,losses,ties,percentage,games_back
431.l.120609.t.1,Shawty Got Soto,2104.5,174.0,187.0,197.5,193.0,173.0,187.5,184.0,157.0,157.0,155.5,150.0,189.0,1,Shawty Got Soto,1,1,155,89,8,.631,-
431.l.120609.t.9,Matt's Team,2072.0,145.5,170.5,163.0,150.5,139.0,156.5,195.5,246.0,209.5,170.0,181.0,145.0,2,Houck Tuah,2,2,136,107,9,.558,18.5
431.l.120609.t.6,David's Team,1995.0,145.0,156.0,187.5,110.5,172.5,179.5,163.5,168.0,177.5,160.5,173.0,201.5,4,I’m a Naga,3,3,135,110,7,.550,20.5
431.l.120609.t.10,Burger Witt Frys,1932.0,150.0,171.0,197.0,164.0,193.0,176.5,137.5,187.5,200.5,142.0,121.0,92.0,6,Burger Witt Frys,4,4,128,114,10,.528,26
431.l.120609.t.4,Gabe's Team,1970.5,189.0,200.5,182.0,108.5,189.5,142.0,133.5,186.0,157.5,168.0,174.0,140.0,5,ABRAMSham Freed The Slaves,5,5,125,117,10,.516,29
431.l.120609.t.11,Bohms Away,1899.5,174.5,193.0,222.0,148.5,192.0,148.0,146.0,87.0,100.5,136.5,118.5,233.0,7,Bohms Away,6,6,123,122,7,.502,32.5
431.l.120609.t.7,Nate's Team,1840.5,119.0,143.5,116.5,117.0,105.5,140.5,149.0,203.5,219.0,159.0,157.0,211.0,11,Jackson off and Jerkering,7,7,122,121,9,.502,32.5
431.l.120609.t.12,Arraez Con Pollo,2008.0,198.0,131.5,134.5,214.0,190.0,188.0,186.0,151.0,149.0,153.0,145.0,168.0,3,Arraez Con Pollo,8,8,121,126,5,.490,35.5
431.l.120609.t.14,Since You've Been Kwan,1841.0,172.0,137.0,143.0,189.0,166.0,164.0,140.0,143.5,124.5,164.5,168.0,129.5,10,Since You’ve Been Kwan,9,,114,129,9,.470,40.5
431.l.120609.t.5,Ohtani's Casino,1711.5,134.5,158.0,142.5,251.5,140.5,156.0,163.0,54.0,65.5,153.0,153.0,140.0,13,Ohtani’s Casino,10,,114,131,7,.466,41.5
431.l.120609.t.2,Jahn's EnDevers,1889.5,174.0,135.5,143.5,150.5,155.5,165.5,170.0,135.5,115.0,163.0,183.5,198.0,9,Jahn’s EnDevers,11,,111,133,8,.456,44
431.l.120609.t.3,Mr. Castillo Girl,1890.5,155.0,131.5,126.0,204.5,125.0,133.5,155.0,197.0,210.0,172.0,171.0,110.0,8,Mr. Castillo Girl,12,,111,133,8,.456,44
431.l.120609.t.13,Jose Ferrer (Bud Black),1499.5,111.5,117.5,92.0,80.5,107.5,127.5,137.0,151.5,156.0,146.0,155.5,117.0,14,Jose Ferrer (Bud Black),13,,104,135,13,.438,48.5
431.l.120609.t.8,This Means Schwar,1806.0,163.0,172.5,158.0,123.0,156.0,140.0,145.0,137.5,163.5,162.0,154.5,131.0,12,This Means Schwar,14,,106,138,8,.437,49
